STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE;REVENUE;NUMBER_OF_SALES;TRANSACTION_DATE;DAY_NAME;MONTH_NAME;HOUR_OF_DAY;DAY_CLASSIFICATION;TRANSACTION_TIME;TIME_CATEGORISATIONS
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/01/01;Sun;Jan;11;Weekend;11:21:14.000;Morning
Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/01/01;Sun;Jan;10;Weekend;10:27:48.000;Morning
Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/01/01;Sun;Jan;14;Weekend;14:03:34.000;Afternoon
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;4,75;1;2023/01/01;Sun;Jan;19;Weekend;19:44:41.000;Evening
Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee;5;1;2023/01/02;Mon;Jan;14;Weekday;14:46:31.000;Afternoon
Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/01/02;Mon;Jan;18;Weekday;18:33:59.000;Evening
Astoria;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/01/01;Sun;Jan;18;Weekend;18:22:12.000;Evening
Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;9;1;2023/01/02;Mon;Jan;11;Weekday;11:53:54.000;Morning
Astoria;Coffee;Latte;Barista Espresso;3,75;1;2023/01/02;Mon;Jan;13;Weekday;13:29:51.000;Afternoon
Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/01/02;Mon;Jan;15;Weekday;15:19:46.000;Afternoon
Lower Manhattan;Bakery;Almond Croissant;Pastry;3,75;1;2023/01/02;Mon;Jan;15;Weekday;15:48:55.000;Afternoon
Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/01/02;Mon;Jan;15;Weekday;15:58:07.000;Afternoon
Astoria;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/01/02;Mon;Jan;19;Weekday;19:16:12.000;Evening
Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee;7;1;2023/01/03;Tue;Jan;11;Weekday;11:36:49.000;Morning
Astoria;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/01/03;Tue;Jan;13;Weekday;13:38:29.000;Afternoon
Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/01/03;Tue;Jan;15;Weekday;15:03:23.000;Afternoon
Astoria;Tea;Earl Grey Lg;Brewed Black tea;6;1;2023/01/05;Thu;Jan;13;Weekday;13:34:37.000;Afternoon
Astoria;Coffee;Cappuccino Lg;Barista Espresso;4,25;1;2023/01/05;Thu;Jan;18;Weekday;18:01:38.000;Evening
Astoria;Coffee;Latte Rg;Barista Espresso;8,5;1;2023/01/05;Thu;Jan;18;Weekday;18:36:58.000;Evening
Hell's Kitchen;Coffee;Latte Rg;Barista Espresso;8,5;1;2023/01/13;Fri;Jan;10;Weekday;10:34:50.000;Morning
Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee;2,2;1;2023/01/02;Mon;Jan;8;Weekday;08:25:22.000;Morning
Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea;3;1;2023/01/02;Mon;Jan;17;Weekday;17:13:53.000;Evening
Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/01/02;Mon;Jan;17;Weekday;17:29:21.000;Evening
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/01/03;Tue;Jan;13;Weekday;13:05:16.000;Afternoon
Astoria;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/01/03;Tue;Jan;14;Weekday;14:30:24.000;Afternoon
Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee;6;1;2023/01/03;Tue;Jan;16;Weekday;16:00:06.000;Evening
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/01/03;Tue;Jan;12;Weekday;12:44:41.000;Afternoon
Lower Manhattan;Coffee;Brazilian Rg;Organic brewed coffee;6;1;2023/01/03;Tue;Jan;14;Weekday;14:22:48.000;Afternoon
Lower Manhattan;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/01/04;Wed;Jan;8;Weekday;08:42:10.000;Morning
Astoria;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/01/05;Thu;Jan;14;Weekday;14:34:03.000;Afternoon
Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/01/05;Thu;Jan;16;Weekday;16:55:26.000;Evening
Lower Manhattan;Bakery;Ginger Scone;Scone;3,25;1;2023/01/06;Fri;Jan;8;Weekday;08:13:41.000;Morning
Astoria;Bakery;Cranberry Scone;Scone;3,25;1;2023/01/06;Fri;Jan;16;Weekday;16:38:11.000;Evening
Astoria;Tea;Peppermint Rg;Brewed herbal tea;5;1;2023/01/06;Fri;Jan;17;Weekday;17:38:56.000;Evening
Astoria;Coffee;Our Old Time Diner Blend Rg;Drip coffee;2,5;1;2023/01/06;Fri;Jan;18;Weekday;18:02:34.000;Evening
Hell's Kitchen;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/01/07;Sat;Jan;10;Weekend;10:49:37.000;Morning
Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/01/07;Sat;Jan;10;Weekend;10:52:50.000;Morning
Astoria;Coffee;Espresso shot;Barista Espresso;3;1;2023/01/07;Sat;Jan;15;Weekend;15:20:43.000;Afternoon
Astoria;Tea;Peppermint Rg;Brewed herbal tea;5;1;2023/01/07;Sat;Jan;15;Weekend;15:22:21.000;Afternoon
Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;2;1;2023/01/07;Sat;Jan;15;Weekend;15:22:54.000;Afternoon
Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;7,5;1;2023/01/05;Thu;Jan;18;Weekday;18:23:21.000;Evening
Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee;5;1;2023/01/07;Sat;Jan;7;Weekend;07:58:14.000;Morning
Lower Manhattan;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;3;1;2023/01/07;Sat;Jan;11;Weekend;11:07:14.000;Morning
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;2,5;1;2023/01/07;Sat;Jan;11;Weekend;11:15:49.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;3,1;1;2023/01/08;Sun;Jan;7;Weekend;07:59:01.000;Morning
Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/01/08;Sun;Jan;8;Weekend;08:21:01.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee;3;1;2023/01/08;Sun;Jan;11;Weekend;11:09:59.000;Morning
Hell's Kitchen;Tea;Earl Grey Lg;Brewed Black tea;3;1;2023/01/08;Sun;Jan;13;Weekend;13:48:00.000;Afternoon
Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/01/08;Sun;Jan;20;Weekend;20:18:39.000;Night
Lower Manhattan;Bakery;Ginger Scone;Scone;4,06;1;2023/01/09;Mon;Jan;10;Weekday;10:58:40.000;Morning
Hell's Kitchen;Coffee;Espresso shot;Barista Espresso;3;1;2023/01/09;Mon;Jan;11;Weekday;11:47:39.000;Morning
Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee;4;1;2023/01/09;Mon;Jan;17;Weekday;17:31:32.000;Evening
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/01/10;Tue;Jan;9;Weekday;09:41:10.000;Morning
Lower Manhattan;Branded;I Need My Bean! Diner mug;Housewares;12;1;2023/01/10;Tue;Jan;11;Weekday;11:55:25.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;6,2;1;2023/01/11;Wed;Jan;6;Weekday;06:41:51.000;Morning
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/01/11;Wed;Jan;6;Weekday;06:43:53.000;Morning
Hell's Kitchen;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;1,6;1;2023/01/11;Wed;Jan;8;Weekday;08:31:04.000;Morning
Hell's Kitchen;Coffee;Latte Rg;Barista Espresso;8,5;1;2023/01/11;Wed;Jan;15;Weekday;15:21:27.000;Afternoon
Astoria;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/01/12;Thu;Jan;10;Weekday;10:24:37.000;Morning
Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/01/13;Fri;Jan;7;Weekday;07:19:50.000;Morning
Lower Manhattan;Bakery;Cranberry Scone;Scone;3,25;1;2023/01/13;Fri;Jan;11;Weekday;11:50:03.000;Morning
Hell's Kitchen;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/01/14;Sat;Jan;10;Weekend;10:53:01.000;Morning
Lower Manhattan;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;1,6;1;2023/01/15;Sun;Jan;6;Weekend;06:22:11.000;Morning
Hell's Kitchen;Coffee;Ouro Brasileiro shot;Barista Espresso;2,1;1;2023/01/15;Sun;Jan;19;Weekend;19:17:28.000;Evening
Lower Manhattan;Bakery;Almond Croissant;Pastry;3,75;1;2023/01/16;Mon;Jan;14;Weekday;14:07:53.000;Afternoon
Lower Manhattan;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/01/17;Tue;Jan;7;Weekday;07:57:39.000;Morning
Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;3,1;1;2023/01/17;Tue;Jan;10;Weekday;10:13:09.000;Morning
Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;2,5;1;2023/01/17;Tue;Jan;10;Weekday;10:14:41.000;Morning
Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/01/18;Wed;Jan;8;Weekday;08:16:36.000;Morning
Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/01/19;Thu;Jan;6;Weekday;06:55:46.000;Morning
Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;2,55;1;2023/01/19;Thu;Jan;7;Weekday;07:22:05.000;Morning
Astoria;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/01/21;Sat;Jan;8;Weekend;08:17:18.000;Morning
Lower Manhattan;Coffee;Latte;Barista Espresso;3,75;1;2023/01/22;Sun;Jan;11;Weekend;11:31:59.000;Morning
Lower Manhattan;Coffee;Latte Rg;Barista Espresso;8,5;1;2023/01/22;Sun;Jan;17;Weekend;17:58:07.000;Evening
Hell's Kitchen;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;3;1;2023/01/23;Mon;Jan;19;Weekday;19:55:47.000;Evening
Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/01/26;Thu;Jan;10;Weekday;10:39:30.000;Morning
Hell's Kitchen;Coffee;Latte;Barista Espresso;7,5;1;2023/02/11;Sat;Feb;10;Weekend;10:27:13.000;Morning
Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/02/13;Mon;Feb;9;Weekday;09:13:06.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee;6;1;2023/01/04;Wed;Jan;13;Weekday;13:30:02.000;Afternoon
Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;2,5;1;2023/01/05;Thu;Jan;10;Weekday;10:20:39.000;Morning
Astoria;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/01/05;Thu;Jan;12;Weekday;12:11:04.000;Afternoon
Astoria;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/01/05;Thu;Jan;19;Weekday;19:27:38.000;Evening
Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;7,5;1;2023/01/07;Sat;Jan;10;Weekend;10:31:28.000;Morning
Lower Manhattan;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;0,8;1;2023/01/07;Sat;Jan;10;Weekend;10:47:22.000;Morning
Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/01/06;Fri;Jan;12;Weekday;12:58:22.000;Afternoon
Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;3,75;1;2023/01/08;Sun;Jan;9;Weekend;09:12:22.000;Morning
Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/01/08;Sun;Jan;10;Weekend;10:44:31.000;Morning
Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/01/08;Sun;Jan;11;Weekend;11:10:58.000;Morning
Astoria;Bakery;Jumbo Savory Scone;Scone;7,5;1;2023/01/08;Sun;Jan;17;Weekend;17:59:49.000;Evening
Lower Manhattan;Loose Tea;English Breakfast;Black tea;8,95;1;2023/01/09;Mon;Jan;7;Weekday;07:36:32.000;Morning
Astoria;Coffee beans;Primo Espresso Roast;Espresso Beans;20,45;1;2023/01/09;Mon;Jan;8;Weekday;08:31:18.000;Morning
Lower Manhattan;Coffee;Cappuccino;Barista Espresso;3,75;1;2023/01/09;Mon;Jan;9;Weekday;09:43:55.000;Morning
Astoria;Coffee;Latte;Barista Espresso;7,5;1;2023/01/10;Tue;Jan;7;Weekday;07:42:13.000;Morning
Lower Manhattan;Tea;Traditional Blend Chai Rg;Brewed Chai tea;2,5;1;2023/01/10;Tue;Jan;9;Weekday;09:35:34.000;Morning
Astoria;Loose Tea;Spicy Eye Opener Chai;Chai tea;10,95;1;2023/01/10;Tue;Jan;18;Weekday;18:51:21.000;Evening
Hell's Kitchen;Coffee;Cappuccino;Barista Espresso;3,75;1;2023/01/12;Thu;Jan;6;Weekday;06:41:44.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;2,45;1;2023/01/12;Thu;Jan;7;Weekday;07:07:53.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee;2;1;2023/01/13;Fri;Jan;7;Weekday;07:24:19.000;Morning
Lower Manhattan;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/01/13;Fri;Jan;7;Weekday;07:28:49.000;Morning
Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/01/13;Fri;Jan;8;Weekday;08:14:26.000;Morning
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;2,5;1;2023/01/13;Fri;Jan;10;Weekday;10:43:12.000;Morning
Astoria;Bakery;Almond Croissant;Pastry;3,75;1;2023/01/13;Fri;Jan;11;Weekday;11:54:12.000;Morning
Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/01/13;Fri;Jan;18;Weekday;18:00:17.000;Evening
Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;3;1;2023/01/14;Sat;Jan;9;Weekend;09:29:55.000;Morning
Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee;2,2;1;2023/01/14;Sat;Jan;17;Weekend;17:29:36.000;Evening
Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;2,5;1;2023/01/15;Sun;Jan;7;Weekend;07:00:35.000;Morning
Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/01/15;Sun;Jan;7;Weekend;07:50:00.000;Morning
Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea;6;1;2023/01/10;Tue;Jan;13;Weekday;13:41:12.000;Afternoon
Hell's Kitchen;Coffee;Latte;Barista Espresso;3,75;1;2023/01/11;Wed;Jan;8;Weekday;08:54:15.000;Morning
Lower Manhattan;Bakery;Croissant;Pastry;3,5;1;2023/01/12;Thu;Jan;6;Weekday;06:10:09.000;Morning
Astoria;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/01/12;Thu;Jan;9;Weekday;09:58:53.000;Morning
Astoria;Coffee;Latte;Barista Espresso;7,5;1;2023/01/13;Fri;Jan;7;Weekday;07:13:50.000;Morning
Hell's Kitchen;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;8;1;2023/01/13;Fri;Jan;10;Weekday;10:13:07.000;Morning
Astoria;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/01/13;Fri;Jan;14;Weekday;14:22:21.000;Afternoon
Hell's Kitchen;Bakery;Croissant;Pastry;3,5;1;2023/01/14;Sat;Jan;10;Weekend;10:44:14.000;Morning
Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/01/14;Sat;Jan;13;Weekend;13:50:09.000;Afternoon
Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/01/14;Sat;Jan;19;Weekend;19:23:32.000;Evening
Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;9;1;2023/01/15;Sun;Jan;7;Weekend;07:33:14.000;Morning
Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;2,5;1;2023/01/13;Fri;Jan;9;Weekday;09:15:11.000;Morning
Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;6,2;1;2023/01/15;Sun;Jan;13;Weekend;13:07:09.000;Afternoon
Astoria;Tea;Peppermint Rg;Brewed herbal tea;2,5;1;2023/01/15;Sun;Jan;14;Weekend;14:12:44.000;Afternoon
Hell's Kitchen;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/01/16;Mon;Jan;9;Weekday;09:31:54.000;Morning
Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/01/16;Mon;Jan;10;Weekday;10:56:56.000;Morning
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/01/16;Mon;Jan;13;Weekday;13:38:33.000;Afternoon
Astoria;Coffee;Cappuccino Lg;Barista Espresso;8,5;1;2023/01/17;Tue;Jan;8;Weekday;08:10:20.000;Morning
Lower Manhattan;Bakery;Croissant;Pastry;3,5;1;2023/01/17;Tue;Jan;11;Weekday;11:56:32.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/01/17;Tue;Jan;13;Weekday;13:42:15.000;Afternoon
Lower Manhattan;Coffee;Our Old Time Diner Blend Sm;Drip coffee;4;1;2023/01/18;Wed;Jan;6;Weekday;06:07:23.000;Morning
Lower Manhattan;Coffee;Latte Rg;Barista Espresso;4,25;1;2023/01/18;Wed;Jan;8;Weekday;08:17:01.000;Morning
Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea;2,5;1;2023/01/18;Wed;Jan;9;Weekday;09:49:26.000;Morning
Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;6,2;1;2023/01/18;Wed;Jan;9;Weekday;09:51:35.000;Morning
Astoria;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/01/18;Wed;Jan;16;Weekday;16:45:26.000;Evening
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/01/19;Thu;Jan;8;Weekday;08:12:47.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/01/19;Thu;Jan;8;Weekday;08:22:55.000;Morning
Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/01/19;Thu;Jan;8;Weekday;08:23:56.000;Morning
Astoria;Tea;Earl Grey Lg;Brewed Black tea;6;1;2023/01/19;Thu;Jan;11;Weekday;11:57:48.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Rg;Drip coffee;2,5;1;2023/01/19;Thu;Jan;12;Weekday;12:00:20.000;Afternoon
Hell's Kitchen;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;6;1;2023/01/19;Thu;Jan;16;Weekday;16:24:19.000;Evening
Lower Manhattan;Flavours;Chocolate syrup;Regular syrup;0,8;1;2023/01/19;Thu;Jan;18;Weekday;18:18:53.000;Evening
Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea;5;1;2023/01/19;Thu;Jan;19;Weekday;19:39:12.000;Evening
Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;2,5;1;2023/01/20;Fri;Jan;8;Weekday;08:25:46.000;Morning
Lower Manhattan;Flavours;Chocolate syrup;Regular syrup;1,6;1;2023/01/20;Fri;Jan;10;Weekday;10:01:40.000;Morning
Astoria;Coffee;Cappuccino;Barista Espresso;3,75;1;2023/01/20;Fri;Jan;10;Weekday;10:34:41.000;Morning
Lower Manhattan;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/01/20;Fri;Jan;17;Weekday;17:39:46.000;Evening
Hell's Kitchen;Tea;Traditional Blend Chai Rg;Brewed Chai tea;2,5;1;2023/01/21;Sat;Jan;8;Weekend;08:19:25.000;Morning
Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee;6;1;2023/01/21;Sat;Jan;8;Weekend;08:41:43.000;Morning
Hell's Kitchen;Coffee;Latte;Barista Espresso;7,5;1;2023/01/21;Sat;Jan;9;Weekend;09:49:05.000;Morning
Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/01/21;Sat;Jan;11;Weekend;11:49:31.000;Morning
